Date,Model,Prompt,Completion,Reasoning,Total_Tokens
2025-11-27,qwen/qwen3-embedding-4b,4.479241,0.0,0.0,4.479241
2025-11-27,openai/gpt-5.1,5.40085,0.853322,0.408036,6.254172
2025-11-27,google/gemini-3-pro-preview,18.479831,1.944809,1.096772,20.424639
2025-11-27,qwen/qwen3-embedding-8b,2.903629,0.0,0.0,2.903629
2025-11-27,deepseek/deepseek-r1,0.42249,0.143778,0.100985,0.566268
2025-11-28,openai/gpt-5.1,5.074646,0.989131,0.44504,6.063777
2025-11-28,qwen/qwen3-embedding-4b,4.699528,0.0,0.0,4.699528
2025-11-28,moonshotai/kimi-k2-thinking,1.807569,0.387133,0.307532,2.194702
2025-11-28,google/gemini-3-pro-preview,17.716403,1.551902,0.985403,19.268305
2025-11-28,anthropic/claude-opus-4.5,16.754159,0.340149,0.045061,17.094308
2025-11-28,qwen/qwen3-embedding-8b,1.085722,0.0,0.0,1.085722
2025-11-28,deepseek/deepseek-r1,0.56799,0.185017,0.141913,0.753007
2025-11-29,openai/gpt-5.1,3.340116,0.441742,0.202139,3.781859
2025-11-29,deepseek/deepseek-r1,0.490025,0.134722,0.094122,0.624747
2025-11-29,qwen/qwen3-embedding-8b,2.232573,0.0,0.0,2.232573
2025-11-29,qwen/qwen3-embedding-4b,3.690396,0.0,0.0,3.690396
2025-11-29,moonshotai/kimi-k2-thinking,1.670146,0.195718,0.155659,1.865864
2025-11-29,anthropic/claude-opus-4.5,14.297184,0.327547,0.026524,14.624731
2025-11-29,google/gemini-3-pro-preview,14.192217,1.0518,0.667142,15.244017
2025-11-30,deepseek/deepseek-r1,0.459165,0.172874,0.109117,0.632039
2025-11-30,openai/gpt-5.1,3.68879,0.385549,0.194585,4.074339
2025-11-30,moonshotai/kimi-k2-thinking,1.844677,0.193043,0.148159,2.03772
2025-11-30,google/gemini-3-pro-preview,16.601033,1.149955,0.702044,17.750988
2025-11-30,qwen/qwen3-embedding-8b,0.871308,0.0,0.0,0.871308
2025-11-30,anthropic/claude-opus-4.5,16.853747,0.316104,0.034277,17.169851
2025-11-30,qwen/qwen3-embedding-4b,4.66333,0.0,0.0,4.66333
2025-12-01,deepseek/deepseek-v3.2,2.20613,0.119361,0.079198,2.325491
2025-12-01,moonshotai/kimi-k2-thinking,2.097358,0.246461,0.189153,2.343819
2025-12-01,openai/gpt-5.1,4.799,0.722206,0.364157,5.521205
2025-12-01,deepseek/deepseek-r1,0.422794,0.174422,0.119306,0.597216
2025-12-01,qwen/qwen3-embedding-4b,5.543898,0.0,0.0,5.543898
2025-12-01,google/gemini-3-pro-preview,21.106585,1.328316,0.815263,22.434902
2025-12-01,qwen/qwen3-embedding-8b,2.352758,0.0,0.0,2.352758
2025-12-01,anthropic/claude-opus-4.5,23.459494,0.420804,0.060945,23.880298
2025-12-02,deepseek/deepseek-v3.2,7.008152,0.506491,0.193031,7.514643
2025-12-02,google/gemini-3-pro-preview,20.695928,1.555038,0.996433,22.250965
2025-12-02,anthropic/claude-opus-4.5,23.535025,0.404525,0.059247,23.93955
2025-12-02,openai/gpt-5.1,6.35534,0.713941,0.401033,7.069281
2025-12-02,qwen/qwen3-embedding-8b,5.571911,0.0,0.0,5.571911
2025-12-02,qwen/qwen3-embedding-4b,1.491067,0.0,0.0,1.491067
2025-12-02,moonshotai/kimi-k2-thinking,2.198812,0.499604,0.412014,2.698416
2025-12-02,deepseek/deepseek-r1,0.44424,0.251992,0.182643,0.696232
2025-12-03,qwen/qwen3-embedding-4b,0.15534,0.0,0.0,0.15534
2025-12-03,moonshotai/kimi-k2-thinking,1.879019,0.398889,0.323312,2.277909
2025-12-03,x-ai/grok-4.1-fast,2.260891,0.456905,0.323113,2.717796
2025-12-03,google/gemini-3-pro-preview,20.431745,2.335715,1.776981,22.76746
2025-12-03,qwen/qwen3-embedding-8b,3.18137,0.0,0.0,3.18137
2025-12-03,anthropic/claude-opus-4.5,29.582085,0.79257,0.127599,30.374655
2025-12-03,deepseek/deepseek-v3.2,8.691467,1.114357,0.767953,9.805824
2025-12-03,openai/gpt-5.1,5.402463,0.69678,0.381425,6.099243
2025-12-03,deepseek/deepseek-r1,0.467464,0.193305,0.140673,0.660769
2025-12-04,qwen/qwen3-embedding-4b,0.113588,0.0,0.0,0.113588
2025-12-04,moonshotai/kimi-k2-thinking,1.641271,0.303788,0.249362,1.945059
2025-12-04,deepseek/deepseek-r1,0.501556,0.16439,0.1108,0.665946
2025-12-04,openai/gpt-5.1,6.542521,0.671269,0.369334,7.213791
2025-12-04,deepseek/deepseek-v3.2,10.976552,1.501982,1.076127,12.478534
2025-12-04,qwen/qwen3-embedding-8b,4.184408,0.0,0.0,4.184408
2025-12-04,x-ai/grok-4.1-fast,13.813793,2.574744,1.892021,16.388537
2025-12-04,anthropic/claude-opus-4.5,31.191317,0.543234,0.059074,31.734551
2025-12-04,google/gemini-3-pro-preview,27.580626,2.228604,1.494474,29.80923
2025-12-05,moonshotai/kimi-k2-thinking,1.593877,0.241417,0.203103,1.835294
2025-12-05,qwen/qwen3-embedding-8b,6.533658,0.0,0.0,6.533658
2025-12-05,openai/gpt-5.1,4.936228,0.572912,0.298476,5.50914
2025-12-05,x-ai/grok-4.1-fast,13.877212,2.099845,1.555238,15.977057
2025-12-05,deepseek/deepseek-v3.2,12.509035,0.51044,0.136038,13.019475
2025-12-05,google/gemini-3-pro-preview,37.727125,2.237803,1.425219,39.964929
2025-12-05,qwen/qwen3-embedding-4b,0.072371,0.0,0.0,0.072371
2025-12-05,deepseek/deepseek-r1,0.552011,0.211163,0.151633,0.763174
2025-12-05,anthropic/claude-opus-4.5,21.296824,0.625167,0.08476,21.921992
2025-12-06,google/gemini-3-pro-preview,17.293074,1.207804,0.758185,18.500879
2025-12-06,qwen/qwen3-embedding-4b,0.20945,0.0,0.0,0.20945
2025-12-06,x-ai/grok-4.1-fast,13.889563,2.539581,1.908074,16.429144
2025-12-06,moonshotai/kimi-k2-thinking,1.603946,0.251573,0.220871,1.855518
2025-12-06,qwen/qwen3-embedding-8b,2.464519,0.0,0.0,2.464519
2025-12-06,anthropic/claude-opus-4.5,34.040507,0.371146,0.032992,34.411653
2025-12-06,deepseek/deepseek-v3.2,13.932512,0.569764,0.178274,14.502276
2025-12-06,openai/gpt-5.1,3.913149,0.537375,0.282975,4.450524
2025-12-06,deepseek/deepseek-r1,0.439758,0.162336,0.113624,0.602094
2025-12-07,deepseek/deepseek-r1,0.53909,0.184792,0.134956,0.723883
2025-12-07,deepseek/deepseek-v3.2,14.0307,0.747673,0.237095,14.778374
2025-12-07,openai/gpt-5.1,4.810788,0.810077,0.470275,5.620865
2025-12-07,x-ai/grok-4.1-fast,13.014322,2.328733,1.710975,15.343055
2025-12-07,anthropic/claude-opus-4.5,42.1266,0.425473,0.031425,42.552073
2025-12-07,qwen/qwen3-embedding-8b,7.031444,0.0,0.0,7.031444
2025-12-07,google/gemini-3-pro-preview,13.23607,1.496929,0.937644,14.732999
2025-12-07,moonshotai/kimi-k2-thinking,1.364438,0.275871,0.236694,1.640308
2025-12-07,qwen/qwen3-embedding-4b,0.078089,0.0,0.0,0.078089
2025-12-08,openai/gpt-5.1,7.152917,0.896052,0.493862,8.048969
2025-12-08,qwen/qwen3-embedding-4b,0.159187,0.0,0.0,0.159187
2025-12-08,z-ai/glm-4.6v,0.028622,0.012381,0.007589,0.041003
2025-12-08,deepseek/deepseek-r1,0.582182,0.216934,0.14832,0.799115
2025-12-08,google/gemini-3-pro-preview,23.238299,3.115151,2.023343,26.35345
2025-12-08,deepseek/deepseek-v3.2,17.096065,0.770776,0.172019,17.866841
2025-12-08,x-ai/grok-4.1-fast,15.071835,3.358162,2.563213,18.429997
2025-12-08,qwen/qwen3-embedding-8b,8.334998,0.0,0.0,8.334998
2025-12-08,anthropic/claude-opus-4.5,36.005656,0.593115,0.074576,36.598771
2025-12-08,moonshotai/kimi-k2-thinking,1.549688,0.293305,0.243127,1.842993
2025-12-09,qwen/qwen3-embedding-4b,0.193243,0.0,0.0,0.193243
2025-12-09,deepseek/deepseek-v3.2,17.817699,0.777524,0.136569,18.595224
2025-12-09,z-ai/glm-4.6v,0.104362,0.072043,0.055042,0.176405
2025-12-09,deepseek/deepseek-r1,0.560468,0.174527,0.10992,0.734995
2025-12-09,moonshotai/kimi-k2-thinking,2.001717,0.299816,0.248878,2.301533
2025-12-09,x-ai/grok-4.1-fast,15.356053,3.547694,2.782038,18.903747
2025-12-09,anthropic/claude-opus-4.5,29.980218,0.603606,0.066755,30.583824
2025-12-09,qwen/qwen3-embedding-8b,6.120827,0.0,0.0,6.120827
2025-12-09,openai/gpt-5.1,7.256738,0.926675,0.513925,8.183413
2025-12-09,google/gemini-3-pro-preview,19.998281,2.536473,1.633194,22.534754
2025-12-10,deepseek/deepseek-r1,0.530129,0.17343,0.100697,0.70356
2025-12-10,qwen/qwen3-embedding-8b,14.023273,0.0,0.0,14.023273
2025-12-10,anthropic/claude-opus-4.5,33.66788,0.702703,0.09639,34.370584
2025-12-10,qwen/qwen3-embedding-4b,0.25193,0.0,0.0,0.25193
2025-12-10,deepseek/deepseek-v3.2,17.716418,0.899285,0.208123,18.615703
2025-12-10,z-ai/glm-4.6v,0.260808,0.044417,0.0213,0.305225
2025-12-10,moonshotai/kimi-k2-thinking,1.964685,0.285715,0.238613,2.2504
2025-12-10,x-ai/grok-4.1-fast,18.096742,3.425786,2.667824,21.522528
2025-12-10,google/gemini-3-pro-preview,21.620791,2.406247,1.629597,24.027037
2025-12-10,openai/gpt-5.1,7.237042,0.893112,0.488325,8.130154
2025-12-11,openai/gpt-5.1,7.9685,1.520357,0.66245,9.488858
2025-12-11,moonshotai/kimi-k2-thinking,1.729893,0.250127,0.214007,1.98002
2025-12-11,qwen/qwen3-embedding-8b,13.964472,0.0,0.0,13.964472
2025-12-11,openai/gpt-5.2,2.09474,0.101409,0.053359,2.196149
2025-12-11,deepseek/deepseek-v3.2,16.267733,1.063601,0.215285,17.331334
2025-12-11,anthropic/claude-opus-4.5,39.201424,0.658254,0.078971,39.859677
2025-12-11,deepseek/deepseek-r1,0.536049,0.137016,0.088918,0.673065
2025-12-11,qwen/qwen3-embedding-4b,0.122693,0.0,0.0,0.122693
2025-12-11,x-ai/grok-4.1-fast,18.22656,3.58279,2.825641,21.80935
2025-12-11,z-ai/glm-4.6v,0.301041,0.100556,0.064321,0.401597
2025-12-11,google/gemini-3-pro-preview,25.816839,2.209239,1.541257,28.026078
2025-12-12,qwen/qwen3-embedding-4b,0.072912,0.0,0.0,0.072912
2025-12-12,moonshotai/kimi-k2-thinking,2.130281,0.290197,0.249101,2.420478
2025-12-12,google/gemini-3-pro-preview,24.28683,2.296288,1.658105,26.583118
2025-12-12,z-ai/glm-4.6v,0.41202,0.16087,0.10563,0.57289
2025-12-12,deepseek/deepseek-v3.2,18.064269,1.150221,0.393919,19.21449
2025-12-12,openai/gpt-5.1,5.700829,1.413835,0.658431,7.114664
2025-12-12,openai/gpt-5.2,10.337168,0.492763,0.303509,10.829931
2025-12-12,deepseek/deepseek-r1,0.482971,0.210675,0.156468,0.693646
2025-12-12,qwen/qwen3-embedding-8b,6.694809,0.0,0.0,6.694809
2025-12-12,x-ai/grok-4.1-fast,15.967692,3.401223,2.547547,19.368915
2025-12-12,anthropic/claude-opus-4.5,30.362486,0.485741,0.040001,30.848227
2025-12-13,anthropic/claude-opus-4.5,18.08021,0.434836,0.02316,18.515046
2025-12-13,deepseek/deepseek-r1,0.376394,0.100007,0.060999,0.476401
2025-12-13,google/gemini-3-pro-preview,11.391016,1.284994,0.79809,12.676009
2025-12-13,x-ai/grok-4.1-fast,12.970879,2.72017,1.885488,15.691049
2025-12-13,moonshotai/kimi-k2-thinking,2.363064,0.280727,0.221101,2.643791
2025-12-13,openai/gpt-5.2,7.983515,0.267193,0.131513,8.250708
2025-12-13,qwen/qwen3-embedding-8b,1.167535,0.0,0.0,1.167535
2025-12-13,deepseek/deepseek-v3.2,16.139259,0.941383,0.242466,17.080642
2025-12-13,openai/gpt-5.1,3.00515,0.633853,0.315629,3.639002
2025-12-13,z-ai/glm-4.6v,0.188858,0.050927,0.035231,0.239784
2025-12-13,qwen/qwen3-embedding-4b,0.043247,0.0,0.0,0.043247
2025-12-14,openai/gpt-5.1,3.362902,0.511536,0.260588,3.874438
2025-12-14,moonshotai/kimi-k2-thinking,1.295894,0.364245,0.347167,1.660139
2025-12-14,anthropic/claude-opus-4.5,20.810958,0.397606,0.033939,21.208564
2025-12-14,deepseek/deepseek-r1,0.462621,0.105194,0.06172,0.567814
2025-12-14,z-ai/glm-4.6v,0.165096,0.013415,0.008198,0.178511
2025-12-14,openai/gpt-5.2,8.700072,0.309142,0.146893,9.009214
2025-12-14,qwen/qwen3-embedding-4b,0.064224,0.0,0.0,0.064224
2025-12-14,deepseek/deepseek-v3.2,17.403799,1.006054,0.233293,18.409852
2025-12-14,qwen/qwen3-embedding-8b,4.048764,0.0,0.0,4.048764
2025-12-14,x-ai/grok-4.1-fast,14.730638,2.671822,1.860892,17.402461
2025-12-14,google/gemini-3-pro-preview,13.497694,1.32159,0.869633,14.819284
2025-12-15,openai/gpt-5.1,3.809677,0.499823,0.275166,4.3095
2025-12-15,openai/gpt-5.2,17.948702,0.582441,0.410221,18.531144
2025-12-15,deepseek/deepseek-v3.2,23.337633,1.03319,0.236664,24.370823
2025-12-15,qwen/qwen3-embedding-4b,0.606752,0.0,0.0,0.606752
2025-12-15,moonshotai/kimi-k2-thinking,1.595096,0.358399,0.299009,1.953495
2025-12-15,deepseek/deepseek-r1,0.487684,0.135326,0.088738,0.623011
2025-12-15,qwen/qwen3-embedding-8b,2.003164,0.0,0.0,2.003164
2025-12-15,z-ai/glm-4.6v,0.403812,0.045204,0.035362,0.449015
2025-12-15,anthropic/claude-opus-4.5,29.378834,0.609719,0.092614,29.988553
2025-12-15,x-ai/grok-4.1-fast,18.153337,3.723424,2.743499,21.876761
2025-12-15,google/gemini-3-pro-preview,18.617596,2.350618,1.629836,20.968215
2025-12-16,qwen/qwen3-embedding-4b,0.133872,0.0,0.0,0.133872
2025-12-16,anthropic/claude-opus-4.5,26.899209,0.61164,0.067861,27.51085
2025-12-16,openai/gpt-5.2,19.305049,0.777916,0.63877,20.082964
2025-12-16,z-ai/glm-4.6v,1.109658,0.060861,0.049485,1.17052
2025-12-16,x-ai/grok-4.1-fast,17.956521,3.847254,2.904879,21.803775
2025-12-16,moonshotai/kimi-k2-thinking,1.942127,0.274952,0.228416,2.217079
2025-12-16,deepseek/deepseek-r1,0.552435,0.151954,0.102335,0.70439
2025-12-16,deepseek/deepseek-v3.2,23.467596,1.342075,0.512558,24.809671
2025-12-16,google/gemini-3-pro-preview,21.586752,2.560604,1.791687,24.147356
2025-12-16,openai/gpt-5.1,3.424548,0.479009,0.288583,3.903557
2025-12-16,qwen/qwen3-embedding-8b,2.884342,0.0,0.0,2.884342
2025-12-17,deepseek/deepseek-r1,0.479888,0.122919,0.077281,0.602808
2025-12-17,openai/gpt-5.1,3.512908,0.516234,0.298426,4.029142
2025-12-17,openai/gpt-5.2,43.396108,1.039581,0.684512,44.435688
2025-12-17,qwen/qwen3-embedding-4b,0.226439,0.0,0.0,0.226439
2025-12-17,anthropic/claude-opus-4.5,28.51778,0.645917,0.06457,29.163697
2025-12-17,z-ai/glm-4.6v,0.573388,0.127162,0.102782,0.70055
2025-12-17,google/gemini-3-flash-preview,4.059848,0.51666,0.30625,4.576508
2025-12-17,moonshotai/kimi-k2-thinking,2.474775,0.269053,0.203488,2.743828
2025-12-17,qwen/qwen3-embedding-8b,1.902279,0.0,0.0,1.902279
2025-12-17,deepseek/deepseek-v3.2,29.937631,2.475681,1.262803,32.413311
2025-12-17,x-ai/grok-4.1-fast,18.174834,3.221655,2.435178,21.396489
2025-12-17,google/gemini-3-pro-preview,21.802104,3.535149,2.50644,25.337253
2025-12-18,google/gemini-3-pro-preview,21.824427,2.683786,1.87303,24.508213
2025-12-18,openai/gpt-5.1,3.283959,0.353103,0.186966,3.637062
2025-12-18,z-ai/glm-4.6v,0.541465,0.161742,0.118336,0.703208
2025-12-18,openai/gpt-5.2,21.357103,0.845038,0.556996,22.202141
2025-12-18,x-ai/grok-4.1-fast,24.235077,4.900134,3.854977,29.135211
2025-12-18,qwen/qwen3-embedding-8b,3.771634,0.0,0.0,3.771634
2025-12-18,google/gemini-3-flash-preview,20.897575,1.198174,0.380109,22.095749
2025-12-18,deepseek/deepseek-r1,0.543423,0.133078,0.086669,0.676501
2025-12-18,moonshotai/kimi-k2-thinking,3.777197,0.295988,0.236327,4.073185
2025-12-18,anthropic/claude-opus-4.5,30.570771,0.627712,0.068097,31.198484
2025-12-18,deepseek/deepseek-v3.2,30.351062,1.970204,0.675433,32.321266
2025-12-18,qwen/qwen3-embedding-4b,0.149366,0.0,0.0,0.149366
2025-12-19,openai/gpt-5.1,3.16102,0.400571,0.218796,3.561591
2025-12-19,moonshotai/kimi-k2-thinking,5.554844,0.289576,0.224474,5.844421
2025-12-19,anthropic/claude-opus-4.5,33.76986,0.642716,0.080491,34.412576
2025-12-19,google/gemini-3-flash-preview,26.88514,1.10953,0.2798,27.99467
2025-12-19,x-ai/grok-4.1-fast,22.525624,5.356588,4.185959,27.882212
2025-12-19,qwen/qwen3-embedding-4b,0.067563,0.0,0.0,0.067563
2025-12-19,deepseek/deepseek-r1,0.420558,0.10767,0.066153,0.528227
2025-12-19,google/gemini-3-pro-preview,13.183369,1.838326,1.247271,15.021694
2025-12-19,deepseek/deepseek-v3.2,29.6118,2.134202,0.789557,31.746002
2025-12-19,qwen/qwen3-embedding-8b,4.198838,0.0,0.0,4.198838
2025-12-19,openai/gpt-5.2,17.362042,1.13697,0.762025,18.499012
2025-12-19,z-ai/glm-4.6v,0.497082,0.218306,0.160236,0.715388
2025-12-20,openai/gpt-5.1,1.889044,0.293948,0.162183,2.182992
2025-12-20,deepseek/deepseek-v3.2,25.847356,1.870074,0.593507,27.71743
2025-12-20,x-ai/grok-4.1-fast,15.384838,2.631005,1.822335,18.015844
2025-12-20,google/gemini-3-pro-preview,13.939957,1.355239,0.922143,15.295195
2025-12-20,deepseek/deepseek-r1,0.334805,0.091394,0.051062,0.426198
2025-12-20,qwen/qwen3-embedding-8b,2.491862,0.0,0.0,2.491862
2025-12-20,moonshotai/kimi-k2-thinking,1.970588,0.38935,0.336087,2.359939
2025-12-20,z-ai/glm-4.6v,0.216164,0.021932,0.014563,0.238096
2025-12-20,openai/gpt-5.2,8.653107,0.55157,0.270349,9.204677
2025-12-20,qwen/qwen3-embedding-4b,0.095802,0.0,0.0,0.095802
2025-12-20,anthropic/claude-opus-4.5,24.526395,0.352854,0.025115,24.87925
2025-12-20,google/gemini-3-flash-preview,23.126907,0.84209,0.156205,23.968997
2025-12-21,openai/gpt-5.2,6.824692,0.555048,0.367634,7.37974
2025-12-21,moonshotai/kimi-k2-thinking,1.474025,0.457149,0.371721,1.931174
2025-12-21,anthropic/claude-opus-4.5,31.642546,0.507225,0.049014,32.149771
2025-12-21,z-ai/glm-4.6v,0.157042,0.012348,0.007182,0.16939
2025-12-21,qwen/qwen3-embedding-4b,0.06298,0.0,0.0,0.06298
2025-12-21,x-ai/grok-4.1-fast,19.956509,3.754032,2.906857,23.710542
2025-12-21,deepseek/deepseek-v3.2,30.222973,1.886,0.513001,32.108973
2025-12-21,google/gemini-3-pro-preview,10.803821,1.39058,0.964217,12.194401
2025-12-21,deepseek/deepseek-r1,0.372799,0.137243,0.090327,0.510042
2025-12-21,openai/gpt-5.1,1.810859,0.220399,0.118916,2.031259
